customer_id,event_date,channel,campaign,device,event_type,revenue
6814,2026-04-29,Email,Brand Awareness,Tablet,product_view,0.0
6443,2025-03-07,Direct,New Customers,Tablet,page_view,0.0
5887,2026-02-17,Direct,Black Friday,Mobile,add_to_cart,0.0
4688,2025-02-17,Facebook,Black Friday,Tablet,page_view,0.0
2051,2025-06-18,Google Ads,New Customers,Tablet,product_view,0.0
3804,2026-03-18,Facebook,New Customers,Desktop,page_view,0.0
5656,2025-12-26,Email,Brand Awareness,Desktop,add_to_cart,0.0
1653,2025-07-15,Google Ads,Retargeting,Mobile,page_view,0.0
5733,2025-09-12,Organic,Summer Sale,Mobile,page_view,0.0
7897,2026-05-05,Email,Retargeting,Tablet,product_view,0.0
9668,2025-10-26,Google Ads,Retargeting,Desktop,page_view,0.0
7499,2025-01-27,Facebook,New Customers,Mobile,add_to_cart,0.0
9362,2025-07-11,Facebook,Retargeting,Desktop,page_view,0.0
1083,2026-03-06,Direct,Summer Sale,Tablet,add_to_cart,0.0
2613,2026-02-22,Email,Brand Awareness,Tablet,product_view,0.0
7881,2025-04-21,Facebook,Retargeting,Tablet,page_view,0.0
6558,2025-04-10,Facebook,Retargeting,Desktop,page_view,0.0
3396,2025-04-05,Email,New Customers,Tablet,page_view,0.0
6209,2025-05-29,Facebook,Retargeting,Desktop,product_view,0.0
9738,2026-02-16,Facebook,Summer Sale,Tablet,product_view,0.0
8229,2025-10-11,Email,Brand Awareness,Desktop,add_to_cart,0.0
5986,2025-10-16,Direct,Brand Awareness,Mobile,add_to_cart,0.0
4790,2025-02-27,Facebook,Brand Awareness,Mobile,product_view,0.0
8940,2025-09-06,Direct,Retargeting,Tablet,page_view,0.0
6793,2025-03-11,Email,Brand Awareness,Tablet,product_view,0.0
8158,2026-02-01,Direct,Brand Awareness,Tablet,page_view,0.0
9893,2026-02-18,Direct,Black Friday,Tablet,purchase,435.75
9956,2025-03-04,Email,Brand Awareness,Mobile,product_view,0.0
3101,2026-02-19,Direct,Summer Sale,Mobile,product_view,0.0
2093,2025-04-21,Google Ads,Summer Sale,Mobile,add_to_cart,0.0
3049,2025-12-11,Direct,New Customers,Desktop,page_view,0.0
6930,2025-09-17,Organic,New Customers,Mobile,page_view,0.0
6808,2025-05-22,Google Ads,Black Friday,Tablet,add_to_cart,0.0
2417,2025-05-25,Direct,Retargeting,Tablet,product_view,0.0
2906,2025-12-13,Email,New Customers,Desktop,add_to_cart,0.0
3366,2025-05-28,Facebook,Summer Sale,Tablet,page_view,0.0
7666,2025-08-15,Facebook,Retargeting,Desktop,purchase,364.64
4178,2026-05-10,Direct,New Customers,Mobile,product_view,0.0
9884,2025-12-16,Email,New Customers,Mobile,page_view,0.0
1481,2025-10-12,Email,Summer Sale,Tablet,page_view,0.0
7848,2025-04-22,Organic,New Customers,Mobile,page_view,0.0
9708,2025-01-26,Google Ads,Retargeting,Mobile,page_view,0.0
9963,2025-08-27,Google Ads,Brand Awareness,Mobile,add_to_cart,0.0
6683,2026-04-27,Email,Summer Sale,Desktop,product_view,0.0
5395,2025-07-26,Google Ads,Black Friday,Mobile,page_view,0.0
5495,2025-11-09,Organic,Black Friday,Mobile,product_view,0.0
9409,2026-01-28,Facebook,Summer Sale,Mobile,page_view,0.0
6801,2026-03-23,Organic,Summer Sale,Tablet,product_view,0.0
9944,2025-06-17,Direct,Black Friday,Mobile,page_view,0.0
3304,2026-02-17,Organic,New Customers,Tablet,product_view,0.0
5487,2025-03-23,Google Ads,Black Friday,Tablet,product_view,0.0
2948,2026-01-14,Direct,Retargeting,Mobile,page_view,0.0
8751,2026-03-26,Email,Retargeting,Tablet,add_to_cart,0.0
9766,2025-03-16,Email,Retargeting,Mobile,page_view,0.0
3755,2025-04-08,Google Ads,Brand Awareness,Tablet,add_to_cart,0.0
6116,2026-04-17,Facebook,Black Friday,Mobile,page_view,0.0
6065,2025-09-28,Google Ads,Retargeting,Mobile,purchase,146.61
3089,2025-11-16,Direct,Brand Awareness,Mobile,page_view,0.0
1136,2026-03-01,Email,Summer Sale,Tablet,product_view,0.0
7924,2026-01-03,Organic,Retargeting,Mobile,page_view,0.0
2604,2025-01-14,Organic,Brand Awareness,Mobile,product_view,0.0
8168,2026-02-08,Direct,Black Friday,Mobile,purchase,93.87
4574,2026-03-18,Direct,Summer Sale,Desktop,page_view,0.0
6706,2025-05-16,Google Ads,Brand Awareness,Mobile,page_view,0.0
6566,2025-05-02,Google Ads,New Customers,Desktop,page_view,0.0
3680,2025-09-25,Google Ads,New Customers,Tablet,product_view,0.0
6451,2025-11-04,Google Ads,Brand Awareness,Desktop,add_to_cart,0.0
8317,2025-09-17,Google Ads,Brand Awareness,Desktop,purchase,104.64
4342,2025-09-04,Email,Summer Sale,Desktop,product_view,0.0
4175,2025-01-12,Direct,Black Friday,Mobile,product_view,0.0
3145,2026-02-24,Email,Retargeting,Mobile,page_view,0.0
2867,2025-07-13,Google Ads,Retargeting,Mobile,add_to_cart,0.0
1292,2025-04-10,Google Ads,Summer Sale,Mobile,purchase,132.16
9051,2025-10-28,Email,Brand Awareness,Mobile,product_view,0.0
9504,2025-06-10,Direct,Summer Sale,Mobile,product_view,0.0
3807,2026-03-11,Email,New Customers,Mobile,page_view,0.0
3594,2026-01-24,Direct,New Customers,Tablet,product_view,0.0
3093,2025-11-28,Facebook,Retargeting,Tablet,product_view,0.0
3974,2025-11-23,Facebook,New Customers,Desktop,page_view,0.0
6749,2026-04-04,Direct,Summer Sale,Mobile,page_view,0.0
5027,2025-07-11,Facebook,Black Friday,Desktop,page_view,0.0
8102,2025-06-21,Email,Brand Awareness,Mobile,purchase,311.85
6937,2025-06-24,Google Ads,Summer Sale,Tablet,add_to_cart,0.0
7978,2025-08-02,Facebook,Black Friday,Tablet,page_view,0.0
2127,2026-03-11,Facebook,Brand Awareness,Desktop,add_to_cart,0.0
9063,2025-02-18,Facebook,Black Friday,Mobile,page_view,0.0
7025,2025-11-21,Organic,Black Friday,Tablet,purchase,464.52
7739,2025-05-25,Google Ads,Retargeting,Tablet,purchase,436.62
2930,2025-02-02,Direct,Brand Awareness,Desktop,page_view,0.0
7877,2026-04-14,Direct,Brand Awareness,Mobile,product_view,0.0
3335,2025-07-28,Email,New Customers,Tablet,add_to_cart,0.0
8986,2026-04-20,Facebook,Summer Sale,Tablet,product_view,0.0
2787,2025-05-13,Facebook,Retargeting,Tablet,page_view,0.0
8039,2025-02-13,Organic,Brand Awareness,Tablet,page_view,0.0
1098,2026-04-28,Facebook,Brand Awareness,Desktop,page_view,0.0
5638,2025-04-13,Facebook,Summer Sale,Desktop,product_view,0.0
4577,2025-10-23,Facebook,Summer Sale,Desktop,purchase,383.48
9937,2026-04-11,Facebook,Summer Sale,Mobile,page_view,0.0
2268,2025-08-16,Google Ads,Black Friday,Mobile,product_view,0.0
1834,2025-08-21,Organic,Black Friday,Desktop,page_view,0.0
3733,2025-11-11,Facebook,Black Friday,Desktop,page_view,0.0
3523,2025-11-22,Facebook,Black Friday,Mobile,product_view,0.0
2043,2025-11-02,Facebook,Black Friday,Mobile,page_view,0.0
6476,2025-10-23,Direct,Brand Awareness,Tablet,page_view,0.0
5979,2025-11-09,Organic,Brand Awareness,Mobile,purchase,315.45
6914,2026-02-21,Email,Brand Awareness,Mobile,page_view,0.0
6849,2025-12-19,Direct,Retargeting,Desktop,page_view,0.0
7986,2026-02-16,Email,Brand Awareness,Desktop,page_view,0.0
6452,2026-01-12,Organic,Brand Awareness,Mobile,product_view,0.0
9208,2026-01-03,Organic,Black Friday,Tablet,page_view,0.0
7650,2025-07-31,Email,New Customers,Desktop,product_view,0.0
8085,2025-07-28,Organic,Black Friday,Mobile,product_view,0.0
6599,2025-09-09,Direct,Retargeting,Mobile,product_view,0.0
9279,2025-05-07,Email,Retargeting,Tablet,page_view,0.0
3435,2025-04-29,Organic,New Customers,Tablet,add_to_cart,0.0
6318,2026-03-04,Facebook,New Customers,Mobile,product_view,0.0
7055,2025-02-11,Facebook,Summer Sale,Desktop,add_to_cart,0.0
5199,2025-09-16,Facebook,New Customers,Desktop,page_view,0.0
1848,2026-03-07,Organic,Black Friday,Desktop,page_view,0.0
4592,2026-05-06,Organic,Summer Sale,Mobile,page_view,0.0
2535,2025-05-31,Email,Retargeting,Mobile,page_view,0.0
2125,2025-01-29,Google Ads,Black Friday,Tablet,page_view,0.0
5827,2025-09-09,Google Ads,Brand Awareness,Mobile,add_to_cart,0.0
4346,2026-01-18,Google Ads,New Customers,Mobile,product_view,0.0
5341,2026-05-07,Facebook,Brand Awareness,Tablet,page_view,0.0
3762,2025-03-29,Email,Summer Sale,Mobile,product_view,0.0
7370,2025-08-12,Direct,New Customers,Mobile,page_view,0.0
1192,2025-09-08,Email,Summer Sale,Desktop,product_view,0.0
8805,2025-04-20,Facebook,Brand Awareness,Mobile,add_to_cart,0.0
1726,2026-03-08,Direct,Brand Awareness,Desktop,page_view,0.0
1389,2026-02-24,Email,Black Friday,Tablet,page_view,0.0
4378,2025-07-11,Facebook,Black Friday,Tablet,purchase,266.55
2366,2026-03-28,Google Ads,Black Friday,Desktop,page_view,0.0
7093,2026-03-11,Email,Retargeting,Tablet,page_view,0.0
3314,2025-11-28,Direct,Black Friday,Mobile,product_view,0.0
9482,2025-12-09,Organic,Brand Awareness,Desktop,purchase,110.15
1080,2026-01-27,Google Ads,Brand Awareness,Desktop,page_view,0.0
2294,2025-05-23,Google Ads,Retargeting,Mobile,page_view,0.0
6506,2025-04-19,Direct,Brand Awareness,Mobile,add_to_cart,0.0
7865,2026-03-17,Email,Black Friday,Tablet,product_view,0.0
5302,2026-03-27,Direct,Summer Sale,Mobile,page_view,0.0
7112,2026-03-11,Organic,New Customers,Mobile,page_view,0.0
7688,2026-03-24,Direct,Black Friday,Desktop,add_to_cart,0.0
5113,2026-04-05,Direct,Brand Awareness,Tablet,product_view,0.0
3773,2025-06-13,Email,Black Friday,Mobile,add_to_cart,0.0
6311,2026-02-12,Email,Brand Awareness,Tablet,page_view,0.0
9794,2025-09-26,Facebook,Retargeting,Mobile,product_view,0.0
7763,2026-02-06,Direct,New Customers,Mobile,product_view,0.0
3426,2026-01-31,Direct,Brand Awareness,Mobile,add_to_cart,0.0
7761,2026-03-27,Google Ads,Summer Sale,Tablet,add_to_cart,0.0
1100,2025-11-11,Organic,New Customers,Mobile,product_view,0.0
7360,2025-03-06,Google Ads,Summer Sale,Desktop,add_to_cart,0.0
5676,2025-12-12,Email,Summer Sale,Tablet,product_view,0.0
5488,2026-02-24,Email,Brand Awareness,Tablet,product_view,0.0
4875,2026-03-29,Email,Retargeting,Mobile,page_view,0.0
5298,2025-12-28,Email,Retargeting,Tablet,product_view,0.0
3497,2025-02-06,Email,Brand Awareness,Tablet,page_view,0.0
7572,2025-01-03,Google Ads,Summer Sale,Mobile,page_view,0.0
7912,2026-03-14,Email,Retargeting,Desktop,page_view,0.0
2244,2025-05-28,Organic,Summer Sale,Tablet,product_view,0.0
4898,2025-07-09,Direct,Black Friday,Desktop,page_view,0.0
1259,2025-10-12,Google Ads,Black Friday,Mobile,product_view,0.0
3314,2026-02-12,Organic,Brand Awareness,Tablet,page_view,0.0
8708,2026-01-08,Email,Retargeting,Mobile,page_view,0.0
6323,2025-06-23,Google Ads,Brand Awareness,Desktop,page_view,0.0
1150,2025-07-11,Organic,Brand Awareness,Mobile,product_view,0.0
3049,2025-07-28,Email,Retargeting,Desktop,page_view,0.0
7468,2025-10-30,Google Ads,Summer Sale,Tablet,page_view,0.0
3441,2025-05-09,Facebook,Summer Sale,Tablet,add_to_cart,0.0
5761,2025-08-18,Email,Retargeting,Tablet,purchase,236.29
6459,2026-03-01,Email,Retargeting,Desktop,page_view,0.0
2204,2025-12-22,Facebook,Summer Sale,Mobile,product_view,0.0
6850,2025-05-09,Organic,Brand Awareness,Mobile,page_view,0.0
6821,2025-06-08,Direct,Black Friday,Mobile,add_to_cart,0.0
1023,2026-01-15,Facebook,New Customers,Mobile,page_view,0.0
5214,2026-03-18,Email,Brand Awareness,Desktop,page_view,0.0
8060,2026-01-11,Email,Black Friday,Desktop,add_to_cart,0.0
6242,2026-01-17,Email,New Customers,Mobile,product_view,0.0
8545,2026-02-12,Organic,Brand Awareness,Tablet,page_view,0.0
8778,2026-02-11,Facebook,Black Friday,Tablet,product_view,0.0
8445,2025-08-28,Organic,Brand Awareness,Tablet,page_view,0.0
7780,2025-05-30,Google Ads,Black Friday,Desktop,page_view,0.0
7524,2025-04-19,Direct,Black Friday,Desktop,page_view,0.0
6658,2025-01-30,Facebook,Black Friday,Mobile,page_view,0.0
7140,2026-05-08,Direct,New Customers,Desktop,product_view,0.0
8583,2025-10-13,Direct,Summer Sale,Mobile,product_view,0.0
6016,2025-01-11,Google Ads,Retargeting,Desktop,product_view,0.0
7328,2025-12-20,Direct,Brand Awareness,Desktop,page_view,0.0
4728,2025-01-30,Facebook,Summer Sale,Mobile,page_view,0.0
3373,2026-05-13,Facebook,Retargeting,Mobile,add_to_cart,0.0
5362,2025-12-24,Facebook,New Customers,Tablet,product_view,0.0
3723,2026-04-18,Direct,Brand Awareness,Mobile,page_view,0.0
1696,2025-05-10,Email,New Customers,Mobile,purchase,230.53
8898,2025-05-09,Google Ads,New Customers,Tablet,product_view,0.0
7681,2025-01-07,Organic,Summer Sale,Tablet,add_to_cart,0.0
8204,2025-09-26,Google Ads,Brand Awareness,Desktop,page_view,0.0
2902,2026-04-08,Facebook,Retargeting,Tablet,page_view,0.0
2844,2025-12-24,Organic,Summer Sale,Tablet,page_view,0.0
8931,2026-02-19,Email,Retargeting,Tablet,add_to_cart,0.0
2435,2025-08-04,Direct,Black Friday,Desktop,product_view,0.0
9172,2026-02-25,Direct,New Customers,Desktop,page_view,0.0
8342,2025-09-30,Direct,Black Friday,Desktop,page_view,0.0
1994,2026-03-29,Email,Retargeting,Tablet,product_view,0.0
4264,2025-02-01,Email,New Customers,Desktop,purchase,222.23
3970,2025-10-20,Email,Black Friday,Desktop,add_to_cart,0.0
6484,2026-03-03,Direct,Retargeting,Desktop,add_to_cart,0.0
9138,2026-02-22,Google Ads,New Customers,Desktop,purchase,102.98
1610,2025-08-19,Organic,Retargeting,Desktop,product_view,0.0
2337,2025-02-21,Email,New Customers,Mobile,product_view,0.0
1263,2026-05-02,Direct,Brand Awareness,Mobile,product_view,0.0
9784,2026-03-03,Direct,New Customers,Mobile,add_to_cart,0.0
1711,2025-09-04,Facebook,Summer Sale,Tablet,add_to_cart,0.0
6996,2025-02-01,Email,Brand Awareness,Mobile,page_view,0.0
4347,2025-12-25,Email,Black Friday,Tablet,product_view,0.0
9041,2025-06-17,Organic,New Customers,Tablet,page_view,0.0
8510,2025-08-11,Organic,Retargeting,Desktop,page_view,0.0
5233,2026-03-10,Direct,Summer Sale,Tablet,add_to_cart,0.0
1787,2025-02-28,Facebook,Retargeting,Mobile,page_view,0.0
8535,2025-05-27,Email,New Customers,Tablet,page_view,0.0
5509,2025-08-09,Email,New Customers,Mobile,page_view,0.0
5775,2025-04-27,Organic,Retargeting,Desktop,page_view,0.0
3815,2025-11-02,Organic,Summer Sale,Desktop,product_view,0.0
5170,2026-03-06,Google Ads,Black Friday,Mobile,purchase,484.8
2680,2026-03-23,Google Ads,Summer Sale,Desktop,page_view,0.0
5101,2025-03-17,Facebook,Retargeting,Desktop,product_view,0.0
8290,2026-04-01,Email,Summer Sale,Tablet,add_to_cart,0.0
7582,2025-06-24,Direct,New Customers,Tablet,add_to_cart,0.0
2441,2026-02-15,Direct,Retargeting,Desktop,purchase,23.28
9356,2025-03-05,Organic,Summer Sale,Desktop,page_view,0.0
6306,2026-05-10,Organic,Brand Awareness,Desktop,add_to_cart,0.0
9989,2025-01-22,Facebook,Brand Awareness,Tablet,add_to_cart,0.0
8325,2025-10-02,Google Ads,Brand Awareness,Desktop,page_view,0.0
5829,2025-08-17,Email,Retargeting,Tablet,page_view,0.0
8484,2025-09-14,Organic,Brand Awareness,Desktop,add_to_cart,0.0
6117,2026-01-24,Google Ads,Brand Awareness,Tablet,purchase,76.19
5392,2025-07-18,Organic,Brand Awareness,Desktop,purchase,154.22
9493,2025-06-03,Direct,Brand Awareness,Tablet,page_view,0.0
9873,2025-02-21,Direct,Summer Sale,Tablet,add_to_cart,0.0
8304,2025-08-14,Direct,Black Friday,Desktop,product_view,0.0
3564,2025-02-01,Direct,New Customers,Mobile,product_view,0.0
6928,2025-01-10,Google Ads,Retargeting,Mobile,product_view,0.0
6168,2025-11-07,Facebook,New Customers,Mobile,add_to_cart,0.0
4525,2026-02-17,Email,Black Friday,Desktop,add_to_cart,0.0
1952,2025-01-11,Facebook,Summer Sale,Tablet,page_view,0.0
9628,2026-04-30,Email,Brand Awareness,Mobile,add_to_cart,0.0
1410,2026-01-10,Google Ads,Retargeting,Mobile,product_view,0.0
5392,2025-02-19,Facebook,Retargeting,Tablet,page_view,0.0
5975,2025-08-23,Google Ads,New Customers,Desktop,product_view,0.0
8988,2025-04-04,Facebook,New Customers,Tablet,product_view,0.0
6060,2025-11-12,Organic,Summer Sale,Desktop,product_view,0.0
6112,2025-06-19,Direct,Retargeting,Tablet,page_view,0.0
6152,2025-11-02,Direct,Black Friday,Desktop,page_view,0.0
8601,2026-03-22,Direct,New Customers,Mobile,product_view,0.0
6618,2025-11-16,Email,Black Friday,Desktop,add_to_cart,0.0
2661,2026-02-02,Organic,Brand Awareness,Mobile,product_view,0.0
7383,2026-03-31,Direct,Summer Sale,Desktop,add_to_cart,0.0
1997,2025-01-24,Facebook,Black Friday,Tablet,product_view,0.0
2256,2026-02-01,Direct,Retargeting,Mobile,page_view,0.0
7116,2025-10-20,Email,Brand Awareness,Tablet,product_view,0.0
2649,2026-05-03,Email,Retargeting,Mobile,product_view,0.0
3858,2025-04-03,Organic,Black Friday,Tablet,page_view,0.0
5247,2026-01-08,Email,New Customers,Tablet,page_view,0.0
5253,2025-07-30,Email,Brand Awareness,Tablet,add_to_cart,0.0
2425,2025-07-17,Organic,Summer Sale,Tablet,page_view,0.0
5544,2025-06-25,Direct,Summer Sale,Mobile,page_view,0.0
3547,2025-01-16,Direct,New Customers,Tablet,page_view,0.0
9980,2025-08-25,Email,New Customers,Tablet,page_view,0.0
1363,2025-09-17,Facebook,Brand Awareness,Desktop,page_view,0.0
7331,2026-03-13,Organic,New Customers,Tablet,purchase,183.44
1389,2025-12-10,Facebook,Black Friday,Desktop,product_view,0.0
5938,2025-01-25,Facebook,Black Friday,Tablet,page_view,0.0
3118,2026-01-10,Organic,Black Friday,Desktop,add_to_cart,0.0
7910,2026-01-15,Organic,Retargeting,Desktop,page_view,0.0
7209,2025-06-13,Google Ads,Retargeting,Tablet,add_to_cart,0.0
2242,2026-05-16,Organic,Black Friday,Tablet,purchase,313.68
5811,2026-05-15,Google Ads,New Customers,Tablet,purchase,342.6
7400,2025-05-06,Organic,Brand Awareness,Tablet,page_view,0.0
1280,2025-06-23,Google Ads,Summer Sale,Mobile,purchase,191.98
5041,2026-03-21,Email,Summer Sale,Desktop,page_view,0.0
9885,2025-07-13,Direct,Retargeting,Tablet,product_view,0.0
9305,2026-03-27,Google Ads,New Customers,Tablet,product_view,0.0
5182,2026-01-20,Email,New Customers,Tablet,page_view,0.0
1701,2025-02-26,Facebook,Brand Awareness,Mobile,page_view,0.0
2001,2025-05-10,Organic,Black Friday,Mobile,page_view,0.0
7555,2026-02-06,Organic,Retargeting,Desktop,page_view,0.0
4942,2025-03-29,Email,Brand Awareness,Mobile,product_view,0.0
6268,2025-06-22,Organic,New Customers,Mobile,page_view,0.0
8732,2026-03-28,Organic,Summer Sale,Mobile,page_view,0.0
3360,2025-10-06,Facebook,Retargeting,Tablet,page_view,0.0
5229,2025-04-17,Email,Summer Sale,Desktop,page_view,0.0
3239,2025-12-06,Facebook,Black Friday,Mobile,page_view,0.0
4841,2025-03-01,Facebook,Brand Awareness,Tablet,page_view,0.0
5128,2025-08-07,Direct,Retargeting,Tablet,add_to_cart,0.0
7356,2026-03-05,Google Ads,New Customers,Tablet,add_to_cart,0.0
2907,2026-02-04,Email,Retargeting,Mobile,add_to_cart,0.0
2383,2025-08-28,Organic,Brand Awareness,Tablet,product_view,0.0
2709,2025-01-05,Direct,New Customers,Tablet,page_view,0.0
4106,2025-06-14,Facebook,Summer Sale,Tablet,product_view,0.0
9487,2025-12-13,Organic,New Customers,Desktop,add_to_cart,0.0
8511,2025-02-13,Organic,New Customers,Mobile,product_view,0.0
6934,2025-02-24,Google Ads,Summer Sale,Desktop,product_view,0.0
4305,2025-04-14,Facebook,Brand Awareness,Desktop,page_view,0.0
1861,2025-08-12,Email,Brand Awareness,Mobile,page_view,0.0
2870,2025-02-18,Direct,Summer Sale,Tablet,page_view,0.0
7325,2025-05-07,Email,Summer Sale,Mobile,product_view,0.0
9575,2025-10-12,Email,Retargeting,Mobile,purchase,187.77
3794,2025-07-03,Facebook,Retargeting,Tablet,product_view,0.0
2502,2025-11-02,Organic,Black Friday,Mobile,page_view,0.0
6448,2025-03-19,Organic,Brand Awareness,Tablet,purchase,211.12
8942,2025-01-13,Organic,Summer Sale,Mobile,product_view,0.0
7103,2025-12-22,Email,Summer Sale,Mobile,add_to_cart,0.0
7746,2026-01-13,Organic,Summer Sale,Mobile,product_view,0.0
7840,2025-12-14,Organic,Brand Awareness,Tablet,add_to_cart,0.0
5611,2026-01-19,Facebook,New Customers,Mobile,page_view,0.0
6884,2025-02-25,Google Ads,Brand Awareness,Tablet,add_to_cart,0.0
5282,2025-10-23,Facebook,Summer Sale,Mobile,page_view,0.0
8158,2025-07-30,Google Ads,Retargeting,Desktop,page_view,0.0
6188,2025-02-02,Facebook,New Customers,Mobile,product_view,0.0
8592,2025-01-30,Email,New Customers,Tablet,product_view,0.0
1885,2025-10-08,Organic,Brand Awareness,Mobile,page_view,0.0
1380,2026-02-08,Direct,Retargeting,Desktop,page_view,0.0
7299,2025-05-17,Facebook,Black Friday,Mobile,page_view,0.0
7910,2025-05-10,Facebook,Retargeting,Tablet,purchase,219.55
1142,2026-03-17,Email,Black Friday,Tablet,add_to_cart,0.0
8830,2026-02-17,Direct,Black Friday,Tablet,add_to_cart,0.0
9918,2025-11-24,Direct,Retargeting,Mobile,page_view,0.0
1649,2025-02-25,Organic,Summer Sale,Mobile,purchase,318.24
1920,2025-03-09,Direct,Summer Sale,Mobile,page_view,0.0
7884,2025-09-24,Facebook,Brand Awareness,Desktop,product_view,0.0
4822,2025-04-29,Direct,Summer Sale,Tablet,product_view,0.0
7169,2026-04-04,Direct,New Customers,Mobile,page_view,0.0
1344,2026-02-01,Email,Summer Sale,Tablet,add_to_cart,0.0
2209,2026-02-01,Email,Retargeting,Desktop,page_view,0.0
9398,2025-09-07,Google Ads,Black Friday,Tablet,page_view,0.0
8916,2025-08-01,Email,Black Friday,Desktop,page_view,0.0
1427,2026-01-14,Google Ads,Brand Awareness,Desktop,page_view,0.0
3698,2025-08-23,Email,Summer Sale,Mobile,page_view,0.0
8406,2026-03-29,Google Ads,New Customers,Mobile,page_view,0.0
6047,2025-04-08,Direct,Summer Sale,Desktop,product_view,0.0
1606,2025-07-13,Facebook,Retargeting,Tablet,page_view,0.0
6794,2026-01-09,Google Ads,Brand Awareness,Tablet,product_view,0.0
3069,2025-02-16,Organic,Retargeting,Desktop,add_to_cart,0.0
4465,2025-03-27,Organic,Brand Awareness,Tablet,purchase,452.22
1269,2025-04-19,Facebook,Brand Awareness,Tablet,purchase,212.34
6070,2026-03-16,Facebook,Summer Sale,Mobile,product_view,0.0
